Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
4,1,All-cause mortality at up to day 28,Mechanical ventilation at baseline,4,SUBGROUP_AND_OVERALL,Beigel 2020,2020,0.0,0.0,0.0,0.0,37,226,0.0,0.0,49,252,0.0,0.0,20.743035,0.841972,0.571621,1.240188,
4,1,All-cause mortality at up to day 28,Mechanical ventilation at baseline,4,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,98,254,0.0,0.0,71,233,0.0,0.0,25.697999,1.266164,0.987688,1.623156,
4,2,In-hospital mortality at up to day 150,No oxygen at baseline,1,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,25,869,0.0,0.0,33,861,0.0,0.0,9.533711,0.750602,0.450255,1.251298,
4,2,In-hospital mortality at up to day 150,Low-flow or high-flow oxygen at baseline,2,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,426,2918,0.0,0.0,476,2921,0.0,0.0,51.449004,0.895878,0.794387,1.010336,
4,2,In-hospital mortality at up to day 150,Mechanical ventilation at baseline,3,SUBGROUP_AND_OVERALL,WHO Solidarity Trial Consortium 2022,2022,0.0,0.0,0.0,0.0,151,359,0.0,0.0,134,347,0.0,0.0,39.017285,1.089199,0.909935,1.303779,
5,1,All-cause mortality at up to day 28,5-day remdesivir,1,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,2,191,0.0,0.0,2,100,0.0,0.0,45.379364,0.52356,0.074864,3.6615,
5,1,All-cause mortality at up to day 28,10-day remdesivir,2,SUBGROUP_AND_OVERALL,Spinner 2020,2020,0.0,0.0,0.0,0.0,3,193,0.0,0.0,2,100,0.0,0.0,54.620636,0.777202,0.13201,4.575733,
6,1,All-cause mortality at up to day 28,,,SUBGROUP_AND_OVERALL,Gottlieb 2021,2021,0.0,0.0,0.0,0.0,0,279,0.0,0.0,0,283,0.0,0.0,,,,,
6,2,Clinical improvement: symptom alleviation at up to day 14,,,SUBGROUP_AND_OVERALL,Gottlieb 2021,2021,0.34359,0.332723,0.0,0.0,0,66,0.0,0.0,0,60,0.0,0.0,100.0,1.41,0.734522,2.706659,
6,3,Clinical worsening: admission to hospital or death at up to day 28,,,SUBGROUP_AND_OVERALL,Gottlieb 2021,2021,0.0,0.0,0.0,0.0,5,279,0.0,0.0,18,283,0.0,0.0,100.0,0.28176,0.106074,0.748426,
6,4,Serious adverse events,,,SUBGROUP_AND_OVERALL,Gottlieb 2021,2021,0.0,0.0,0.0,0.0,5,279,0.0,0.0,19,283,0.0,0.0,100.0,0.266931,0.101073,0.704958,
6,5,"Adverse events, any grade",,,SUBGROUP_AND_OVERALL,Gottlieb 2021,2021,0.0,0.0,0.0,0.0,118,279,0.0,0.0,131,283,0.0,0.0,100.0,0.913678,0.758725,1.100276,
