"Review","Added","Outcome","Study","Experimental.mean","Experimental.SD","Experimental.cases","Experimental.N","Control.mean","Control.SD","Control.cases","Control.N","Weight","Mean","CI.start","CI.end","random.sequence.generation..selection.bias.","allocation.concealment..selection.bias.","performance.bias","detection.bias","attrition.bias","reporting.bias","other.bias","Overall.bias","measure","yi","vi"
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Munch 2021a",NA,NA,6,16,NA,NA,2,14,0.275883,2.625,0.627837,10.97519,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.965080896043587,0.532738095238095
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Tang 2021",NA,NA,0,43,NA,NA,1,43,0.056071,0.333333,0.013956,7.961364,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-1.09861228866811,2.62121212121212
"Systemic corticosteroids COVID-19","2022-11-01","Mortality30","Tomazini 2020",NA,NA,85,151,NA,NA,91,148,15.678119,0.915508,0.757264,1.10682,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0882758130773429,0.00937444355831578
"Chronic rhinosinusitis","2021-03-01","SAEs","Bachert 2016",NA,NA,2,30,NA,NA,4,30,8.884596,0.5,0.098931,2.527011,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-0.693147180559945,0.683333333333333
"Chronic rhinosinusitis","2021-03-01","SAEs","LIBERTY SINUS 24",NA,NA,6,143,NA,NA,19,132,43.889903,0.291498,0.120086,0.707586,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"RR",-1.23272221761192,0.204729481045271
"Chronic rhinosinusitis","2021-03-01","SAEs","LIBERTY SINUS 52",NA,NA,20,297,NA,NA,16,150,47.225502,0.631313,0.33711,1.182272,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-0.459953293392234,0.10246632996633
"Chronic rhinosinusitis","2021-03-01","Avoidance","LIBERTY SINUS 24",NA,NA,3,143,NA,NA,10,133,55.659208,0.279021,0.078482,0.991983,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"RR",-1.27646830636409,0.418821529347845
"Chronic rhinosinusitis","2021-03-01","Avoidance","LIBERTY SINUS 52",NA,NA,2,295,NA,NA,12,154,44.340792,0.087006,0.019723,0.383824,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-2.44178222315425,0.573449996331352
"Chronic rhinosinusitis","2021-03-01","AEs","Bachert 2016",NA,NA,14,30,NA,NA,10,30,19.019813,1.4,0.742369,2.640195,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",0.336472236621213,0.104761904761905
"Chronic rhinosinusitis","2021-03-01","AEs","LIBERTY SINUS 24",NA,NA,19,143,NA,NA,20,133,22.611858,0.883566,0.49381,1.58095,"Low risk","Low risk","Low risk","Low risk","Unclear risk","Unclear risk","Low risk",NA,"RR",-0.123788796425704,0.0881197749618802
"Chronic rhinosinusitis","2021-03-01","AEs","LIBERTY SINUS 52",NA,NA,61,297,NA,NA,36,150,58.36833,0.85578,0.595787,1.22923,"Low risk","Low risk","Low risk","Low risk","High risk","Unclear risk","Low risk",NA,"RR",-0.155741918989242,0.0341375503670586
"Convalescent plasma","2023-02-01","Mortality","Bar 2021",NA,NA,2,40,NA,NA,10,39,0.147929,0.195,0.045618,0.833556,NA,NA,NA,NA,NA,NA,NA,"Not applicable","RR",-1.63475572041839,0.549358974358974
"Convalescent plasma","2023-02-01","Mortality","De Santis 2022",NA,NA,8,36,NA,NA,18,71,0.585377,0.876543,0.422447,1.818754,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.131769277631123,0.138693270735524
"Convalescent plasma","2023-02-01","Mortality","Estcourt 2021",NA,NA,352,1074,NA,NA,300,904,18.837778,0.98761,0.870637,1.120299,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0124672137347375,0.00413694903751511
"Convalescent plasma","2023-02-01","Mortality","Begin 2021",NA,NA,141,614,NA,NA,63,307,4.452505,1.119048,0.859799,1.456466,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.11247798342669,0.0180792209692341
"Convalescent plasma","2023-02-01","Mortality","Devos 2021",NA,NA,29,320,NA,NA,14,163,0.839538,1.055134,0.573693,1.9406,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.0536677053842052,0.0966513607241077
"Convalescent plasma","2023-02-01","Mortality","Gharbharan 2021",NA,NA,6,43,NA,NA,11,43,0.384829,0.545455,0.221667,1.342194,NA,NA,NA,NA,NA,NA,NA,"Not applicable","RR",-0.606135803570315,0.211064129668781
"Convalescent plasma","2023-02-01","Mortality","Koerper 2021",NA,NA,8,53,NA,NA,14,52,0.512858,0.560647,0.257034,1.222893,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.578663982906117,0.1583298776695
"Convalescent plasma","2023-02-01","Mortality","Ortigoza 2022",NA,NA,59,462,NA,NA,71,462,3.02392,0.830986,0.603245,1.144704,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.185142433135596,0.0267046552556221
"Convalescent plasma","2023-02-01","Mortality","Sekine 2021",NA,NA,18,80,NA,NA,13,80,0.755104,1.384615,0.728235,2.63261,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.325422400434628,0.107478632478632
"Convalescent plasma","2023-02-01","Mortality","Van den Berg 2022",NA,NA,11,52,NA,NA,13,51,0.629334,0.829882,0.410489,1.677764,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.186472170520268,0.128993555464144
"Convalescent plasma","2023-02-01","SAEs","Simonovich 2020",NA,NA,54,228,NA,NA,19,105,14.914525,1.308864,0.818927,2.091916,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.269159788600916,0.0572403230297967
"Convalescent plasma","2023-02-01","SAEs","Bar 2021",NA,NA,12,40,NA,NA,15,39,10.218532,0.78,0.420519,1.446785,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.2484613592985,0.0993589743589744
"Convalescent plasma","2023-02-01","SAEs","Begin 2021",NA,NA,205,614,NA,NA,81,307,29.240274,1.265432,1.017868,1.573209,NA,NA,NA,NA,NA,NA,NA,"Not applicable","RR",0.235413643906024,0.0123377343074915
"Convalescent plasma","2023-02-01","SAEs","Devos 2021",NA,NA,66,320,NA,NA,34,163,19.607727,0.988787,0.684178,1.429014,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0112765775767458,0.0353033105322441
"Convalescent plasma","2023-02-01","SAEs","Estcourt 2021",NA,NA,32,1075,NA,NA,12,905,9.301444,2.244961,1.163178,4.332829,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.808688256149889,0.112548128399503
"Convalescent plasma","2023-02-01","SAEs","Koerper 2021",NA,NA,22,53,NA,NA,25,52,16.717498,0.863396,0.563608,1.322646,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.146881566480579,0.0473558516954743
"Convalescent plasma","2023-02-01","Worsening","Agarwal 2020",NA,NA,44,235,NA,NA,41,229,3.013233,1.045771,0.711916,1.536188,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.0447540566240339,0.0384953852537013
"Convalescent plasma","2023-02-01","Worsening","Korley 2021",NA,NA,8,257,NA,NA,3,254,0.264252,2.635538,0.707205,9.821847,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.969087435135043,0.45050527487566
"Convalescent plasma","2023-02-01","Worsening","Simonovich 2020",NA,NA,44,228,NA,NA,22,105,2.154855,0.921053,0.583426,1.454064,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.0822380982369721,0.054272043745728
"Convalescent plasma","2023-02-01","Worsening","Estcourt 2021",NA,NA,347,701,NA,NA,275,606,26.21962,1.090816,0.972336,1.223733,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.0869257813150123,0.00344150947672764
"Convalescent plasma","2023-02-01","Worsening","Begin 2021",NA,NA,199,614,NA,NA,86,307,9.267648,1.156977,0.935383,1.431066,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.145810347911039,0.0117670391195429
"Convalescent plasma","2023-02-01","Worsening","Horby 2021b",NA,NA,1568,5493,NA,NA,1568,5448,59.080393,0.991808,0.93487,1.052213,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",-0.00822598551327225,0.000909906724763542
"Ivermectin COVID-19","2022-06-01","SAEs","Krolewiecki 2021",NA,NA,1,30,NA,NA,0,15,100,1.548387,0.066803,35.889386,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.437213806422744,2.57190860215054
"Ivermectin COVID-19","2022-06-01","SAEs","Mohan 2021",NA,NA,0,100,NA,NA,0,52,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.644828603289138,3.97123108537269
"Ivermectin COVID-19","2022-06-01","AEs","Krolewiecki 2021",NA,NA,13,30,NA,NA,5,15,42.656704,1.3,0.570045,2.964679,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",0.262364264467491,0.176923076923077
"Ivermectin COVID-19","2022-06-01","AEs","Mohan 2021",NA,NA,14,100,NA,NA,6,52,36.133266,1.213333,0.495412,2.971623,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.193371392980539,0.208864468864469
"Ivermectin COVID-19","2022-06-01","AEs","Pott-Junior 2021",NA,NA,7,27,NA,NA,2,4,21.210031,0.518519,0.161071,1.669212,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.656779536389071,0.355820105820106
"Ivermectin COVID-19","2022-06-01","Viral clearance","Kirti 2021",NA,NA,13,32,NA,NA,18,44,38.639064,0.993056,0.573434,1.719745,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.00696866931609341,0.0785013597513597
"Ivermectin COVID-19","2022-06-01","Viral clearance","Mohan 2021",NA,NA,33,80,NA,NA,14,45,45.265589,1.325893,0.798298,2.202175,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.28208608694766,0.0670093795093795
"Ivermectin COVID-19","2022-06-01","Viral clearance","Pott-Junior 2021",NA,NA,17,27,NA,NA,2,3,16.095347,0.944444,0.403329,2.211532,NA,NA,NA,NA,NA,NA,NA,"High risk","RR",-0.0571584138399485,0.188453159041394
"Non-small cell lung cancer","2021-04-01","AEs","Carbone 2017",NA,NA,47,267,NA,NA,133,263,17.866873,0.348089,0.261586,0.463198,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","High risk",NA,"RR",-1.05529615273418,0.0212477930162808
"Non-small cell lung cancer","2021-04-01","AEs","Herbst 2020",NA,NA,37,277,NA,NA,116,263,15.675273,0.302845,0.217866,0.420969,"Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","High risk",NA,"RR",-1.19453575247171,0.0282353270101291
"Non-small cell lung cancer","2021-04-01","AEs","Mok 2019",NA,NA,100,636,NA,NA,238,615,22.473484,0.406295,0.33079,0.499033,"Low risk","Low risk","Low risk","Low risk","Low risk","Low risk","High risk",NA,"RR",-0.900676783216988,0.0110033373680812
"Non-small cell lung cancer","2021-04-01","AEs","Reck 2016",NA,NA,46,154,NA,NA,77,150,17.753845,0.581886,0.436351,0.775961,"Low risk","Low risk","High risk","Low risk","Low risk","Low risk","High risk",NA,"RR",-0.541481333681962,0.0215659702616224
"Non-small cell lung cancer","2021-04-01","AEs","Rizvi 2020",NA,NA,53,369,NA,NA,116,352,17.6236,0.435847,0.326031,0.582651,"Low risk","Low risk","High risk","Low risk","High risk","Low risk","High risk",NA,"RR",-0.830463745996673,0.0219376779922942
"Remdesivir COVID-19","2021-08-01","AEs","Beigel 2020",NA,NA,305,532,NA,NA,323,516,31.016203,0.915873,0.829455,1.011295,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.0878772704753265,0.00255698001254397
"Remdesivir COVID-19","2021-08-01","AEs","Spinner 2020",NA,NA,113,193,NA,NA,93,200,20.559826,1.259123,1.040997,1.522954,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.230415503202236,0.00942089854390784
"Remdesivir COVID-19","2023-01-01","AEs","WHO Solidarity France 2021",NA,NA,241,406,NA,NA,236,418,28.9279,1.051369,0.935779,1.181238,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.0500934013880687,0.00353126704415444
"Remdesivir COVID-19","2021-08-01","AEs","Wang 2020",NA,NA,102,155,NA,NA,50,78,19.496071,1.026581,0.839535,1.255299,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.02623351762647,0.0105317958448888
"Remdesivir COVID-19","2021-08-01","SAEs","Beigel 2020",NA,NA,130,532,NA,NA,163,516,37.366193,0.77356,0.635818,0.941141,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.256752474211262,0.0100095932732167
"Remdesivir COVID-19","2021-08-01","SAEs","Spinner 2020",NA,NA,10,193,NA,NA,18,200,9.136334,0.575705,0.272681,1.215475,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.552159487258968,0.145374208405296
"Remdesivir COVID-19","2023-01-01","SAEs","WHO Solidarity France 2021",NA,NA,135,406,NA,NA,130,418,37.167059,1.069155,0.876773,1.30375,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.0668686009058708,0.0102443164149153
"Remdesivir COVID-19","2021-08-01","SAEs","Wang 2020",NA,NA,28,155,NA,NA,20,78,16.330415,0.704516,0.425091,1.167616,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-0.350244053608442,0.0664421599905471
"Systemic corticosteroids COVID-19","2022-11-01","Mortality120","Edalatifard 2020",NA,NA,2,34,NA,NA,12,28,26.489611,0.137255,0.033479,0.562703,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",-1.98591548366901,0.518207282913165
"Systemic corticosteroids COVID-19","2022-11-01","Mortality120","Jeronimo 2020",NA,NA,80,194,NA,NA,82,199,42.929989,1.000754,0.790269,1.267302,NA,NA,NA,NA,NA,NA,NA,"Some concerns","RR",0.000754053070792682,0.0145153571478211
"Systemic corticosteroids COVID-19","2022-11-01","Mortality120","Munch 2021a",NA,NA,7,16,NA,NA,3,14,30.5804,2.041667,0.648642,6.426353,NA,NA,NA,NA,NA,NA,NA,"Low risk","RR",0.713766467762681,0.342261904761905
