Analysis group,Analysis number,Analysis name,Subgroup,Subgroup number,Applicability,Study,Study year,GIV Mean,GIV SE,Experimental mean,Experimental SD,Experimental cases,Experimental N,Control mean,Control SD,Control cases,Control N,O-E,Variance,Weight,Mean,CI start,CI end,Footnotes
2,1,All-cause mortality up to 30 days,Low-flow oxygen only,2,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,8,16,0.0,0.0,7,12,0.0,0.0,2.742528,0.857143,0.432227,1.699786,
2,1,All-cause mortality up to 30 days,"NIV, high-flow, and low-flow oxygen combined",3,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,298,1279,0.0,0.0,682,2604,0.0,0.0,23.764131,0.889615,0.790194,1.001546,
2,1,All-cause mortality up to 30 days,NIV or high-flow oxygen only,4,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,2,4,0.0,0.0,1,3,0.0,0.0,0.395258,1.5,0.229682,9.796133,
2,1,All-cause mortality up to 30 days,NIV or high-flow oxygen only,4,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,18,98,0.0,0.0,19,90,0.0,0.0,3.719687,0.870032,0.488261,1.550311,
2,1,All-cause mortality up to 30 days,Invasive ventilation,5,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,95,324,0.0,0.0,283,683,0.0,0.0,17.232449,0.707641,0.584531,0.85668,
2,1,All-cause mortality up to 30 days,Invasive ventilation,5,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,53,66,0.0,0.0,57,67,0.0,0.0,20.251178,0.943913,0.807575,1.103267,
2,1,All-cause mortality up to 30 days,Invasive ventilation,5,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,85,151,0.0,0.0,91,148,0.0,0.0,17.3423,0.915508,0.757264,1.10682,
3,1,All-cause mortality up to 30 days,Dexamethasone,1,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,482,2104,0.0,0.0,1110,4321,0.0,0.0,64.778156,0.89179,0.812302,0.979056,
3,1,All-cause mortality up to 30 days,Dexamethasone,1,SUBGROUP_AND_OVERALL,Jamaati 2021,2021,0.0,0.0,0.0,0.0,16,25,0.0,0.0,15,25,0.0,0.0,2.989294,1.066667,0.690696,1.647291,
3,1,All-cause mortality up to 30 days,Dexamethasone,1,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,85,151,0.0,0.0,91,148,0.0,0.0,15.678119,0.915508,0.757264,1.10682,
3,1,All-cause mortality up to 30 days,Methylprednisolone,2,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,7,35,0.0,0.0,5,29,0.0,0.0,0.525276,1.16,0.411342,3.271244,
3,1,All-cause mortality up to 30 days,Methylprednisolone,2,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,79,209,0.0,0.0,80,207,0.0,0.0,9.456168,0.97805,0.766023,1.248764,
3,1,All-cause mortality up to 30 days,Methylprednisolone,2,SUBGROUP_AND_OVERALL,Tang 2021,2021,0.0,0.0,0.0,0.0,0,43,0.0,0.0,1,43,0.0,0.0,0.056071,0.333333,0.013956,7.961364,
3,1,All-cause mortality up to 30 days,Hydrocortisone,3,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,41,137,0.0,0.0,16,49,0.0,0.0,2.483384,0.916515,0.568936,1.476439,Angus 2020 intervention arm: fixed-dose hydrocortisone
3,1,All-cause mortality up to 30 days,Hydrocortisone,3,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,37,141,0.0,0.0,17,52,0.0,0.0,2.469,0.80267,0.497575,1.294838,Angus 2020 intervention arm: shock-dependent hydrocortisone
3,1,All-cause mortality up to 30 days,Hydrocortisone,3,SUBGROUP_AND_OVERALL,Dequin 2020,2020,0.0,0.0,0.0,0.0,11,76,0.0,0.0,20,73,0.0,0.0,1.288648,0.528289,0.272525,1.024087,
3,1,All-cause mortality up to 30 days,Hydrocortisone,3,SUBGROUP_AND_OVERALL,Munch 2021a,2021,0.0,0.0,0.0,0.0,6,16,0.0,0.0,2,14,0.0,0.0,0.275883,2.625,0.627837,10.97519,
3,2,All-cause mortality up to 120 days,Hydrocortisone,1,SUBGROUP_AND_OVERALL,Munch 2021a,2021,0.0,0.0,0.0,0.0,7,16,0.0,0.0,3,14,0.0,0.0,30.5804,2.041667,0.648642,6.426353,
3,2,All-cause mortality up to 120 days,Methylprednisolone,2,SUBGROUP_AND_OVERALL,Edalatifard 2020,2020,0.0,0.0,0.0,0.0,2,34,0.0,0.0,12,28,0.0,0.0,26.489611,0.137255,0.033479,0.562703,
3,2,All-cause mortality up to 120 days,Methylprednisolone,2,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,80,194,0.0,0.0,82,199,0.0,0.0,42.929989,1.000754,0.790269,1.267302,
3,3,Clinical improvement: discharged alive,Dexamethasone,1,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,1416,2104,0.0,0.0,2748,4321,0.0,0.0,97.677211,1.058242,1.019433,1.098529,
3,3,Clinical improvement: discharged alive,Dexamethasone,1,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,42,151,0.0,0.0,25,148,0.0,0.0,1.370407,1.646623,1.060333,2.557088,
3,3,Clinical improvement: discharged alive,Methylprednisolone,2,SUBGROUP_AND_OVERALL,Edalatifard 2020,2020,0.0,0.0,0.0,0.0,32,34,0.0,0.0,16,28,0.0,0.0,0.952382,1.647059,1.182218,2.294672,
4,1,All-cause mortality up to 30 days,Female,1,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,2,12,0.0,0.0,3,13,0.0,0.0,0.268849,0.722222,0.144655,3.605848,
4,1,All-cause mortality up to 30 days,Female,1,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,151,766,0.0,0.0,328,1572,0.0,0.0,23.410504,0.944772,0.795226,1.122441,
4,1,All-cause mortality up to 30 days,Female,1,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,33,61,0.0,0.0,29,51,0.0,0.0,6.286568,0.951385,0.682247,1.326695,
4,1,All-cause mortality up to 30 days,Male,2,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,5,23,0.0,0.0,2,16,0.0,0.0,0.304628,1.73913,0.383961,7.877294,
4,1,All-cause mortality up to 30 days,Male,2,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,331,1338,0.0,0.0,782,2749,0.0,0.0,56.747861,0.869641,0.778526,0.971419,
4,1,All-cause mortality up to 30 days,Male,2,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,52,90,0.0,0.0,62,97,0.0,0.0,12.981591,0.903943,0.717205,1.1393,
5,1,All-cause mortality up to 30 days,< 70 years,1,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,0,9,0.0,0.0,1,19,0.0,0.0,0.486026,0.666667,0.029755,14.936723,
5,1,All-cause mortality up to 30 days,< 70 years,1,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,129,1141,0.0,0.0,429,2505,0.0,0.0,24.129392,0.660168,0.549252,0.793483,
5,1,All-cause mortality up to 30 days,< 70 years,1,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,47,108,0.0,0.0,56,103,0.0,0.0,19.772917,0.80043,0.605965,1.057302,
5,1,All-cause mortality up to 30 days,≥ 70 years,2,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,7,19,0.0,0.0,4,10,0.0,0.0,4.396001,0.921053,0.352441,2.407034,
5,1,All-cause mortality up to 30 days,≥ 70 years,2,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,353,963,0.0,0.0,681,1816,0.0,0.0,27.364723,0.977501,0.882648,1.082547,
5,1,All-cause mortality up to 30 days,≥ 70 years,2,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,38,43,0.0,0.0,35,45,0.0,0.0,23.850939,1.136213,0.93949,1.374127,
6,1,All-cause mortality up to 30 days,White,1,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,7,35,0.0,0.0,5,29,0.0,0.0,5.962243,1.16,0.411342,3.271244,
6,1,All-cause mortality up to 30 days,White,1,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,401,1550,0.0,0.0,849,3139,0.0,0.0,40.916723,0.956525,0.863778,1.059231,
6,1,All-cause mortality up to 30 days,"Black, Asian or minority ethnic group",2,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,52,364,0.0,0.0,160,783,0.0,0.0,29.295888,0.699107,0.524638,0.931596,
6,1,All-cause mortality up to 30 days,Unknown,3,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,29,190,0.0,0.0,101,399,0.0,0.0,23.825146,0.60297,0.4144,0.877349,
7,1,All-cause mortality up to 30 days,High-income countries,1,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,41,137,0.0,0.0,16,49,0.0,0.0,2.483384,0.916515,0.568936,1.476439,Angus 2020 intervention arm: fixed-dose hydrocortisone
7,1,All-cause mortality up to 30 days,High-income countries,1,SUBGROUP_AND_OVERALL,Angus 2020,2020,0.0,0.0,0.0,0.0,37,141,0.0,0.0,17,52,0.0,0.0,2.469,0.80267,0.497575,1.294838,Angus 2020 intervention arm: shock-dependent hydrocortisone
7,1,All-cause mortality up to 30 days,High-income countries,1,SUBGROUP_AND_OVERALL,Corral-Gudino 2021,2021,0.0,0.0,0.0,0.0,7,35,0.0,0.0,5,29,0.0,0.0,0.525276,1.16,0.411342,3.271244,
7,1,All-cause mortality up to 30 days,High-income countries,1,SUBGROUP_AND_OVERALL,Dequin 2020,2020,0.0,0.0,0.0,0.0,11,76,0.0,0.0,20,73,0.0,0.0,1.288648,0.528289,0.272525,1.024087,
7,1,All-cause mortality up to 30 days,High-income countries,1,SUBGROUP_AND_OVERALL,Horby 2021,2021,0.0,0.0,0.0,0.0,482,2104,0.0,0.0,1110,4321,0.0,0.0,64.778156,0.89179,0.812302,0.979056,
7,1,All-cause mortality up to 30 days,High-income countries,1,SUBGROUP_AND_OVERALL,Munch 2021a,2021,0.0,0.0,0.0,0.0,6,16,0.0,0.0,2,14,0.0,0.0,0.275883,2.625,0.627837,10.97519,
7,1,All-cause mortality up to 30 days,Low- and middle-income countries,2,SUBGROUP_AND_OVERALL,Jamaati 2021,2021,0.0,0.0,0.0,0.0,16,25,0.0,0.0,15,25,0.0,0.0,2.989294,1.066667,0.690696,1.647291,
7,1,All-cause mortality up to 30 days,Low- and middle-income countries,2,SUBGROUP_AND_OVERALL,Jeronimo 2020,2020,0.0,0.0,0.0,0.0,79,209,0.0,0.0,80,207,0.0,0.0,9.456168,0.97805,0.766023,1.248764,
7,1,All-cause mortality up to 30 days,Low- and middle-income countries,2,SUBGROUP_AND_OVERALL,Tang 2021,2021,0.0,0.0,0.0,0.0,0,43,0.0,0.0,1,43,0.0,0.0,0.056071,0.333333,0.013956,7.961364,
7,1,All-cause mortality up to 30 days,Low- and middle-income countries,2,SUBGROUP_AND_OVERALL,Tomazini 2020,2020,0.0,0.0,0.0,0.0,85,151,0.0,0.0,91,148,0.0,0.0,15.678119,0.915508,0.757264,1.10682,
