Analysis group,Analysis number,Subgroup,Subgroup number,Experimental cases,Experimental N,Control cases,Control N,Weight,Mean,CI start,CI end,Heterogeneity Tau²,Tau² CI start,Tau² CI end,Heterogeneity Chi²,Heterogeneity df,Heterogeneity P,Heterogeneity I²,Effect Z,Effect T,Effect P,ID
1,22,Dyspnoea,10,53,150,42,147,100.0,1.236667,0.884666,1.728726,0.0,,,0.0,0,1.0,0.0,1.24292,,0.213897,subgroup:460563895249354220
1,22,Insomnia,11,51,150,56,147,100.0,0.8925,0.658799,1.209104,0.0,,,0.0,0,1.0,0.0,0.734183,,0.462837,subgroup:460563895249616366
1,22,Appetite loss,12,55,150,48,147,100.0,1.122917,0.820918,1.536015,0.0,,,0.0,0,1.0,0.0,0.725328,,0.468251,subgroup:460563895249616368
1,22,Constipation,13,34,150,25,147,100.0,1.3328,0.838374,2.118812,0.0,,,0.0,0,1.0,0.0,1.214613,,0.224514,subgroup:460563895249878514
1,22,Diarrhea,14,12,150,24,147,100.0,0.49,0.25464,0.942899,0.0,,,0.0,0,1.0,0.0,2.136021,,0.032678,subgroup:460563895250140660
1,22,Financial difficulties,15,26,150,29,147,100.0,0.878621,0.544772,1.417059,0.0,,,0.0,0,1.0,0.0,0.530608,,0.59569,subgroup:460563895250140662
2,1,PD-L1 <1%,1,,263,,269,100.0,0.665007,0.54935,0.805013,0.0,,,0.376278,1,0.539602,0.0,4.184959,,2.9E-5,subgroup:460563895250664954
2,1,PD-L1 ≥1%,2,,692,,686,100.0,0.892097,0.70121,1.134949,0.022785,,,4.079167,1,0.043415,75.485191,0.929481,,0.35264,subgroup:460563895250927101
2,1,PD-L1≥50%,3,,313,,299,100.0,0.724987,0.593743,0.885242,0.0,,,0.203517,1,0.651897,0.0,3.156255,,0.001598,subgroup:460563895251189248
2,2,Tumor Mutational Burden low,1,,395,,374,54.134013,0.933039,0.608549,1.430553,0.081969,,,7.246662,1,0.007103,86.200543,0.317857,,0.750594,subgroup:460563895251451396
2,2,Tumor Mutational Burden high,2,,203,,230,45.865987,0.597054,0.436093,0.817426,0.020492,,,1.617808,1,0.203398,38.18795,3.217696,,0.001292,subgroup:460563895251713543
2,3,Tumor Mutational Burden low,1,,395,,374,52.483029,1.289545,0.896835,1.854216,0.055084,,,5.053845,1,0.024571,80.213086,1.372345,,0.169956,subgroup:460563895252237835
2,3,Tumor Mutational Burden high,2,,203,,230,47.516971,0.560334,0.431013,0.728456,0.0,,,0.107243,1,0.743305,0.0,4.32653,,1.5E-5,subgroup:460563895252499982
2,4,Tumor Mutational Burden low,1,34,204,58,185,33.729772,0.531609,0.36586,0.77245,0.0,,,0.0,0,1.0,0.0,3.314246,,9.19E-4,subgroup:460563895253024274
2,4,Tumor Mutational Burden high,2,94,203,58,230,66.270228,1.825913,1.396443,2.387465,0.0,,,0.908307,1,0.340564,0.0,4.400694,,1.1E-5,subgroup:460563895253024276
2,5,Adverse events grade 3-4,1,268,947,321,922,87.990577,0.777912,0.554911,1.090531,0.048545,,,5.330251,1,0.020958,81.239159,1.457131,,0.14508,subgroup:460563895253548568
2,5,Adverse events grade 5 (toxic deaths),2,14,947,9,922,12.009423,1.508334,0.653576,3.48096,0.0,,,0.168805,1,0.681176,0.0,0.963236,,0.335429,subgroup:460563895253548571
